id,category,brand,title,description,price,specTableContent
8203003,shoes,,nike air max 90 ultra 20 ltrpl nowości nike 2017  sklep sizeerpl,"""null""@pl",,
7276296,shoes,,nike tiempo genio ii pelle fg  giadanerovoltit  nike scarpe uomo terreni compatti giadanerovolt it,""" ingegnate da nike con tomaia in pelle pieno grano, le leggere scarpe da calcio nike tiempo genio ii offrono una naturale sensibilità sulla palla che ha reso popolare questo modello per quasi vent'anni.grazie ad un controtallone in schiuma e alla loro tomaia in pelle idrorepellente, le genio ii fg offrono in'ottima prestazione, mentre un sottopiede in eva ad alta densità offre un'ammortizzazione reattiva e il massimo comfort.per una trazione superiore su campi compatti, le genio ii sono caratterizzate da tacchetti direttamente iniettati sul tallone per un'ottima stabilità e tacchetti conici sull'avampiede per una trazione rotazionale. ""@it",,
13290823,shoes,,nike tiempo legacy fg  anthraciteblackvolten  nike mens boots firm ground anthraciteblackvolt en,""" engineered by nike with a revolutionary new double-layer upper construction of supple calf leather and hydrophobic mesh, the legacy fg are not only extremely light but they'll stay light too.soft calf leather delivers the natural feel that's been a hallmark of tiempo boots for almost two decades and newly developed nike technology brings it bang up-to-date.moisture blocking hypershield technology means the legacy fg absorbs significantly less water, dries faster and is more durable, retaining it's shape for much longer.built on an anatomical last with an internal heel counter, the legacy fg boasts a snug, locked-down and close to the foot fit with a pre moulded sockliner for cushioned comfort.a full length tpu plate designed to move with your foot works in unison with the insole board to provide these nike boots with a smooth transition from mid foot to forefoot and multi-directional flexibility. an functional fg stud configuration features direct inject studs, rectangular at the heel for added stability and conical at the forefoot for greater comfort and rotation, for superior traction and underfoot control on firm ground. ""@en",,
3799713,shoes,"""nike""",free rn flyknit nike free flyknit  831069 001  everysizecom,,,
8898771,shoes,"""nike""@en",nike tiempo genio leather sgen apparel and sports equipmenten sg  man soccer shoes nike colour black 631616 007 athletic footwear,"""football shoes nike tiempo, pattern leather sg genius.the football boot in leather wet and muddy ground nike tiempo men's genius has a natural leather upper provides superior sensitivity and maximum comfort. advantages:soft leather upper with full grain natural comfort and exceptional sensitivity.contoured eva insole high density to increase comfort and reduce stud pressure.tpu plate with replaceable studs.studs for heavy soil (sg) for use in rainy or muddy fields. color: black/fluo yellow.""@en",,
9458309,shoes,,nike sportswear roshe run  marinenoirblancfr  chaussures homme nike marinenoirblanc fr,,,
7610832,shoes,,nike junior mercurialx vapor xi ronaldo ic  verdevolthastabiancoit  nike scarpe campi coperti verdevolthastabianco it,""" vestibilitàrealizzate con una tomaia sintetica teijin, le vapor dispongono di una rinnovata costruzione priva di linguetta, mentre il sottopiede anti-skid elimina qualsiasi movimento all'interno della scarpa.toccoper migliorare il tocco e la sensibilià, le vapor dispongono di un nuova costruzione con bordi in rilievo per una migliore presa sulla palla ad alta velocità.trazioneriprogettata per migliorare l'accelerazione, la suola in gomma a basso profilo è specificamente formulata per assicurare una prestazione ottimale su campi al coperto. ""@it",,
15685298,shoes,,puma evospeed 35 pelle fg  bianco pumanero pumarancioneit  puma scarpe uomo terreni compatti pumarancione it,""" dotate di tecnologia speedcell per una prestazione leggera e reattiva, le scarpe da calcio puma evospeed 3.5 pelle fg dispongono di una tomaia in pelle pieno grano e pelle sintetca che mantiene la scarpe comode e leggere.la suola leggera un tpu ha una combinazione di tacchetti conici e lamati per un'ottima presa su campi naturali compatti. ""@it",,
8204384,shoes,,nike zoom speed tr3  rossobianconerocremiseit  nike scarpe uomo rossobianconerocremise it,,,
9393740,shoes,,nike womens air zoom pegasus 32  hyper orangeblackvoltopt yellowen  nike shoes yellow en,""" the updated design of the nike air zoom pegasus 32 women's running shoe includes a removal of the midfoot overlays leaving a precise, one-piece engineered mesh and flywire upper built to deliver support and performance.the nike zoom air unit provides responsive cushioning and the lateral rubber crash rail offers a soft, smooth transition. ""@en",,
